time,current,voltage
24-05-12 08:55.04,0.37,2.937
24-05-12 08:55.19,0.371,2.936
24-05-12 08:55.34,0.373,2.936
24-05-12 08:55.49,0.379,2.936
24-05-12 08:56.03,0.365,2.937
24-05-12 08:56.18,0.377,2.936
24-05-12 08:56.33,0.38,2.939
24-05-12 08:56.48,0.388,2.944
24-05-12 08:57.03,0.374,2.951
24-05-12 08:57.18,0.372,2.957
24-05-12 08:57.33,0.357,2.962
24-05-12 08:57.48,0.355,2.966
24-05-12 08:58.03,0.368,2.97
24-05-12 08:58.18,0.381,2.974
24-05-12 08:58.33,0.365,2.978
24-05-12 08:58.48,0.373,2.981
24-05-12 08:59.03,0.357,2.984
24-05-12 08:59.18,0.367,2.987
24-05-12 08:59.33,0.352,2.991
24-05-12 08:59.48,0.358,2.994
24-05-12 09:00.03,0.356,2.996
24-05-12 09:00.18,0.359,2.999
24-05-12 09:00.33,0.367,3.002
24-05-12 09:00.48,0.364,3.005
24-05-12 09:01.03,0.373,3.007
24-05-12 09:01.18,0.364,3.009
24-05-12 09:01.33,0.354,3.012
24-05-12 09:01.48,0.349,3.015
24-05-12 09:02.03,0.356,3.017
24-05-12 09:02.18,0.365,3.02
24-05-12 09:02.33,0.371,3.022
24-05-12 09:02.48,0.355,3.024
24-05-12 09:03.03,0.365,3.027
24-05-12 09:03.18,0.357,3.03
24-05-12 09:03.33,0.352,3.032
24-05-12 09:03.48,0.353,3.034
24-05-12 09:04.03,0.342,3.037
24-05-12 09:04.18,0.338,3.039
24-05-12 09:04.33,0.342,3.041
24-05-12 09:04.48,0.348,3.044
24-05-12 09:05.03,0.348,3.046
24-05-12 09:05.18,0.353,3.047
24-05-12 09:05.33,0.357,3.048
24-05-12 09:05.48,0.359,3.047
24-05-12 09:06.03,0.378,3.046
24-05-12 09:06.18,0.37,3.044
24-05-12 09:06.33,0.355,3.043
24-05-12 09:06.48,0.37,3.044
24-05-12 09:07.03,0.358,3.044
24-05-12 09:07.18,0.384,3.044
24-05-12 09:07.33,0.372,3.044
24-05-12 09:07.48,0.373,3.044
24-05-12 09:08.03,0.364,3.044
24-05-12 09:08.18,0.36,3.045
24-05-12 09:08.33,0.374,3.048
24-05-12 09:08.48,0.363,3.05
24-05-12 09:09.03,0.349,3.055
24-05-12 09:09.18,0.377,3.058
24-05-12 09:09.33,0.36,3.06
24-05-12 09:09.48,0.339,3.062
24-05-12 09:10.03,0.342,3.064
24-05-12 09:10.18,0.343,3.066
24-05-12 09:10.33,0.355,3.068
24-05-12 09:10.48,0.358,3.071
24-05-12 09:11.03,0.339,3.072
24-05-12 09:11.18,0.34,3.074
24-05-12 09:11.33,0.357,3.075
24-05-12 09:11.48,0.354,3.077
24-05-12 09:12.03,0.372,3.079
24-05-12 09:12.18,0.358,3.08
24-05-12 09:12.33,0.355,3.081
24-05-12 09:12.48,0.353,3.083
24-05-12 09:13.03,0.358,3.086
24-05-12 09:13.18,0.354,3.088
24-05-12 09:13.33,0.359,3.089
24-05-12 09:13.48,0.35,3.091
24-05-12 09:14.03,0.353,3.094
24-05-12 09:14.18,0.335,3.096
24-05-12 09:14.33,0.356,3.098
24-05-12 09:14.48,0.355,3.099
24-05-12 09:15.03,0.355,3.101
24-05-12 09:15.18,0.366,3.102
24-05-12 09:15.33,0.346,3.103
24-05-12 09:15.48,0.35,3.105
24-05-12 09:16.03,0.347,3.107
24-05-12 09:16.18,0.342,3.108
24-05-12 09:16.33,0.351,3.11
24-05-12 09:16.48,0.354,3.11
24-05-12 09:17.02,0.338,3.111
24-05-12 09:17.17,0.36,3.113
24-05-12 09:17.32,0.334,3.115
24-05-12 09:17.47,0.344,3.116
24-05-12 09:18.02,0.352,3.117
24-05-12 09:18.17,0.347,3.117
24-05-12 09:18.32,0.367,3.118
24-05-12 09:18.47,0.355,3.12
24-05-12 09:19.02,0.366,3.121
24-05-12 09:19.17,0.355,3.122
24-05-12 09:19.32,0.35,3.124
24-05-12 09:19.47,0.348,3.125
24-05-12 09:20.02,0.355,3.126
24-05-12 09:20.17,0.356,3.127
24-05-12 09:20.32,0.35,3.129
24-05-12 09:20.47,0.369,3.131
24-05-12 09:21.02,0.344,3.133
24-05-12 09:21.17,0.355,3.134
24-05-12 09:21.32,0.344,3.136
24-05-12 09:21.47,0.334,3.137
24-05-12 09:22.02,0.343,3.139
24-05-12 09:22.17,0.346,3.14
24-05-12 09:22.32,0.338,3.142
24-05-12 09:22.47,0.353,3.143
24-05-12 09:23.02,0.343,3.145
24-05-12 09:23.17,0.345,3.146
24-05-12 09:23.32,0.345,3.148
